CVE ID,Link to CVE,CVSS_Score,Confidentiality Impact,Integrity Impact,Availability Impact,Access Complexity,Authentication,Gained Access,Vulnerability Type(s),Year
CVE-2015-8669,https://www.cvedetails.com/cve/CVE-2015-8669/,5.0,Partial,None,None,Low,Not required,None,Obtain Information,2015
CVE-2015-8664,https://www.cvedetails.com/cve/CVE-2015-8664/,7.5,Partial,Partial,Partial,Low,Not required,None,Denial Of Service,2015
CVE-2015-8664,https://www.cvedetails.com/cve/CVE-2015-8664/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2015
CVE-2015-8663,https://www.cvedetails.com/cve/CVE-2015-8663/,7.5,Partial,Partial,Partial,Low,Not required,None,Denial Of Service,2015
CVE-2015-8663,https://www.cvedetails.com/cve/CVE-2015-8663/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2015
CVE-2015-8662,https://www.cvedetails.com/cve/CVE-2015-8662/,7.5,Partial,Partial,Partial,Low,Not required,None,Denial Of Service,2015
CVE-2015-8662,https://www.cvedetails.com/cve/CVE-2015-8662/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2015
CVE-2015-8661,https://www.cvedetails.com/cve/CVE-2015-8661/,7.5,Partial,Partial,Partial,Low,Not required,None,Denial Of Service,2015
CVE-2015-8661,https://www.cvedetails.com/cve/CVE-2015-8661/,7.5,Partial,Partial,Partial,Low,Not required,None,Overflow,2015
CVE-2015-8660,https://www.cvedetails.com/cve/CVE-2015-8660/,7.2,Complete,Complete,Complete,Low,Not required,None,Bypass a restriction or similar,2015
CVE-2015-8651,https://www.cvedetails.com/cve/CVE-2015-8651/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8651,https://www.cvedetails.com/cve/CVE-2015-8651/,9.3,Complete,Complete,Complete,Medium,Not required,None,Overflow,2015
CVE-2015-8650,https://www.cvedetails.com/cve/CVE-2015-8650/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8649,https://www.cvedetails.com/cve/CVE-2015-8649/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8648,https://www.cvedetails.com/cve/CVE-2015-8648/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8647,https://www.cvedetails.com/cve/CVE-2015-8647/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8646,https://www.cvedetails.com/cve/CVE-2015-8646/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8645,https://www.cvedetails.com/cve/CVE-2015-8645/,9.3,Complete,Complete,Complete,Medium,Not required,None,Denial Of Service,2015
CVE-2015-8645,https://www.cvedetails.com/cve/CVE-2015-8645/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8645,https://www.cvedetails.com/cve/CVE-2015-8645/,9.3,Complete,Complete,Complete,Medium,Not required,None,Overflow,2015
CVE-2015-8645,https://www.cvedetails.com/cve/CVE-2015-8645/,9.3,Complete,Complete,Complete,Medium,Not required,None,Memory corruption,2015
CVE-2015-8644,https://www.cvedetails.com/cve/CVE-2015-8644/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8643,https://www.cvedetails.com/cve/CVE-2015-8643/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8642,https://www.cvedetails.com/cve/CVE-2015-8642/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8641,https://www.cvedetails.com/cve/CVE-2015-8641/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8640,https://www.cvedetails.com/cve/CVE-2015-8640/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8639,https://www.cvedetails.com/cve/CVE-2015-8639/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8638,https://www.cvedetails.com/cve/CVE-2015-8638/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8636,https://www.cvedetails.com/cve/CVE-2015-8636/,9.3,Complete,Complete,Complete,Medium,Not required,None,Denial Of Service,2015
CVE-2015-8636,https://www.cvedetails.com/cve/CVE-2015-8636/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8636,https://www.cvedetails.com/cve/CVE-2015-8636/,9.3,Complete,Complete,Complete,Medium,Not required,None,Overflow,2015
CVE-2015-8636,https://www.cvedetails.com/cve/CVE-2015-8636/,9.3,Complete,Complete,Complete,Medium,Not required,None,Memory corruption,2015
CVE-2015-8635,https://www.cvedetails.com/cve/CVE-2015-8635/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
CVE-2015-8634,https://www.cvedetails.com/cve/CVE-2015-8634/,9.3,Complete,Complete,Complete,Medium,Not required,None,Execute Code,2015
