CVE ID,#,Product Type,Vendor,Product,Version,Year
CVE-2019-1020019,1,Application,Inveniosoftware,Invenio-previewer,0.1.0,2019
CVE-2019-1020019,2,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020019,3,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020019,4,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020019,5,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020019,6,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020019,7,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020019,8,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020019,9,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020019,10,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020019,11,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020019,12,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020019,13,Application,Inveniosoftware,Invenio-previewer,1.0.0,2019
CVE-2019-1020018,1,Application,Discourse,Discourse,*,2019
CVE-2019-1020018,2,Application,Discourse,Discourse,2.4.0,2019
CVE-2019-1020018,3,Application,Discourse,Discourse,2.4.0,2019
CVE-2019-1020017,1,Application,Discourse,Discourse,*,2019
CVE-2019-1020016,1,Application,Ash-aio Project,Ash-aio,2.0.0.0,2019
CVE-2019-1020016,2,Application,Ash-aio Project,Ash-aio,2.0.0.1,2019
CVE-2019-1020016,3,Application,Ash-aio Project,Ash-aio,2.0.0.2,2019
CVE-2019-1020015,1,Application,Hasura,Graphql Engine,*,2019
CVE-2019-1020015,2,Application,Hasura,Graphql Engine,1.0.0,2019
CVE-2019-1020015,3,Application,Hasura,Graphql Engine,1.0.0,2019
CVE-2019-1020015,4,Application,Hasura,Graphql Engine,1.0.0,2019
CVE-2019-1020013,1,Application,Parseplatform,Parse-server,*,2019
CVE-2019-1020012,1,Application,Parseplatform,Parse-server,*,2019
CVE-2019-1020011,1,Application,Charcoal-se,Smokedetector,-,2019
CVE-2019-1020010,1,Application,Misskey,Misskey,*,2019
CVE-2019-1020010,2,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,3,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,4,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,5,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,6,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,7,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,8,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,9,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,10,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,11,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,12,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,13,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,14,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,15,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,16,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,17,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,18,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,19,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,20,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,21,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,22,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,23,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,24,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,25,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020010,26,Application,Misskey,Misskey,11.0.0,2019
CVE-2019-1020009,1,Application,Kolide,Fleet,*,2019
CVE-2019-1020008,1,Application,Stacktable.js Project,Stacktable.js,*,2019
CVE-2019-1020006,1,Application,Inveniosoftware,Invenio-app,*,2019
CVE-2019-1020004,1,Application,Tridactyl Project,Tridactyl,*,2019
CVE-2019-1020004,2,Application,Tridactyl Project,Tridactyl,1.15.0,2019
CVE-2019-1020002,1,Application,Pterodactyl,Panel,*,2019
CVE-2019-1020001,1,Application,Yardoc,Yard,*,2019
CVE-2019-1010319,1,OS,Canonical,Ubuntu Linux,18.04,2019
CVE-2019-1010319,2,OS,Canonical,Ubuntu Linux,19.04,2019
CVE-2019-1010319,3,OS,Debian,Debian Linux,9.0,2019
CVE-2019-1010319,4,OS,Fedoraproject,Fedora,29,2019
CVE-2019-1010319,5,OS,Fedoraproject,Fedora,30,2019
CVE-2019-1010319,6,OS,Fedoraproject,Fedora,31,2019
CVE-2019-1010319,7,Application,Wavpack,Wavpack,*,2019
CVE-2019-1010317,1,OS,Canonical,Ubuntu Linux,18.04,2019
CVE-2019-1010317,2,OS,Canonical,Ubuntu Linux,19.04,2019
CVE-2019-1010317,3,OS,Debian,Debian Linux,9.0,2019
CVE-2019-1010317,4,OS,Fedoraproject,Fedora,29,2019
CVE-2019-1010317,5,OS,Fedoraproject,Fedora,30,2019
CVE-2019-1010317,6,OS,Fedoraproject,Fedora,31,2019
CVE-2019-1010317,7,Application,Wavpack,Wavpack,*,2019
CVE-2019-1010316,1,Application,Pyxtrlock Project,Pyxtrlock,*,2019
CVE-2019-1010315,1,Application,Wavpack,Wavpack,*,2019
CVE-2019-1010314,1,Application,Gitea,Gitea,1.7.2,2019
CVE-2019-1010314,2,Application,Gitea,Gitea,1.7.3,2019
CVE-2019-1010308,1,Application,Aquaverde,Aquarius Cms,*,2019
CVE-2019-1010306,1,Application,Teller,Slanger,0.6.0,2019
CVE-2019-1010305,1,OS,Canonical,Ubuntu Linux,12.04,2019
CVE-2019-1010305,2,OS,Canonical,Ubuntu Linux,14.04,2019
CVE-2019-1010305,3,OS,Canonical,Ubuntu Linux,16.04,2019
CVE-2019-1010305,4,OS,Canonical,Ubuntu Linux,18.04,2019
CVE-2019-1010305,5,OS,Debian,Debian Linux,8.0,2019
CVE-2019-1010305,6,OS,Debian,Debian Linux,9.0,2019
CVE-2019-1010305,7,OS,Fedoraproject,Fedora,29,2019
CVE-2019-1010305,8,OS,Fedoraproject,Fedora,30,2019
CVE-2019-1010305,9,Application,Kyzer,Libmspack,0.9.1,2019
CVE-2019-1010304,1,Application,Mirumee,Saleor,*,2019
CVE-2019-1010302,1,Application,Jhead Project,Jhead,3.03,2019
CVE-2019-1010301,1,OS,Debian,Debian Linux,8.0,2019
CVE-2019-1010301,2,OS,Fedoraproject,Fedora,29,2019
CVE-2019-1010301,3,OS,Fedoraproject,Fedora,30,2019
CVE-2019-1010301,4,Application,Jhead Project,Jhead,3.03,2019
CVE-2019-1010300,1,Application,Mz-automation,Libiec61850,1.3.0,2019
CVE-2019-1010300,2,Application,Mz-automation,Libiec61850,1.3.1,2019
CVE-2019-1010300,3,Application,Mz-automation,Libiec61850,1.3.2,2019
