CVE ID,Link to CVE,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Authentication,Gained Access,Vulnerability Type(s)
CVE-2018-1999047,https://www.cvedetails.com/cve/CVE-2018-1999047/,4,None,Partial,None,,None,
CVE-2018-1999046,https://www.cvedetails.com/cve/CVE-2018-1999046/,4,Partial,None,None,,None,Obtain Information
CVE-2018-1999045,https://www.cvedetails.com/cve/CVE-2018-1999045/,5.5,Partial,Partial,None,,None,
CVE-2018-1999044,https://www.cvedetails.com/cve/CVE-2018-1999044/,4,None,None,Partial,,None,Denial Of Service
CVE-2018-1999043,https://www.cvedetails.com/cve/CVE-2018-1999043/,5,None,None,Partial,Not required,None,Denial Of Service
CVE-2018-1999042,https://www.cvedetails.com/cve/CVE-2018-1999042/,5,Partial,None,None,Not required,None,
CVE-2018-1999040,https://www.cvedetails.com/cve/CVE-2018-1999040/,4,Partial,None,None,,None,Obtain Information
CVE-2018-1999039,https://www.cvedetails.com/cve/CVE-2018-1999039/,4,None,Partial,None,,None,
CVE-2018-1999038,https://www.cvedetails.com/cve/CVE-2018-1999038/,4.9,Partial,Partial,None,,None,
CVE-2018-1999037,https://www.cvedetails.com/cve/CVE-2018-1999037/,4,None,Partial,None,,None,
CVE-2018-1999036,https://www.cvedetails.com/cve/CVE-2018-1999036/,4,Partial,None,None,,None,
CVE-2018-1999035,https://www.cvedetails.com/cve/CVE-2018-1999035/,5.8,Partial,Partial,None,Not required,None,
CVE-2018-1999034,https://www.cvedetails.com/cve/CVE-2018-1999034/,5.8,Partial,Partial,None,Not required,None,
CVE-2018-1999033,https://www.cvedetails.com/cve/CVE-2018-1999033/,4,Partial,None,None,,None,Obtain Information
CVE-2018-1999032,https://www.cvedetails.com/cve/CVE-2018-1999032/,4,None,Partial,None,,None,
CVE-2018-1999031,https://www.cvedetails.com/cve/CVE-2018-1999031/,4,Partial,None,None,,None,Obtain Information
CVE-2018-1999030,https://www.cvedetails.com/cve/CVE-2018-1999030/,4,Partial,None,None,,None,Obtain Information
CVE-2018-1999028,https://www.cvedetails.com/cve/CVE-2018-1999028/,4,Partial,None,None,,None,Obtain Information
CVE-2018-1999027,https://www.cvedetails.com/cve/CVE-2018-1999027/,6.8,Partial,Partial,Partial,Not required,None,
CVE-2018-1999026,https://www.cvedetails.com/cve/CVE-2018-1999026/,4,None,Partial,None,,None,
CVE-2018-1999025,https://www.cvedetails.com/cve/CVE-2018-1999025/,5.8,Partial,Partial,None,Not required,None,
CVE-2018-1999024,https://www.cvedetails.com/cve/CVE-2018-1999024/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2018-1999023,https://www.cvedetails.com/cve/CVE-2018-1999023/,6.8,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2018-1999022,https://www.cvedetails.com/cve/CVE-2018-1999022/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2018-1999020,https://www.cvedetails.com/cve/CVE-2018-1999020/,5.8,None,Partial,Partial,Not required,None,Directory traversal
CVE-2018-1999019,https://www.cvedetails.com/cve/CVE-2018-1999019/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2018-1999018,https://www.cvedetails.com/cve/CVE-2018-1999018/,8.5,Complete,Complete,Complete,,None,Execute Code
CVE-2018-1999017,https://www.cvedetails.com/cve/CVE-2018-1999017/,4,Partial,None,None,,None,
CVE-2018-1999016,https://www.cvedetails.com/cve/CVE-2018-1999016/,4.3,None,Partial,None,Not required,None,Sql Injection
CVE-2018-1999016,https://www.cvedetails.com/cve/CVE-2018-1999016/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2018-1999015,https://www.cvedetails.com/cve/CVE-2018-1999015/,4.3,Partial,None,None,Not required,None,
CVE-2018-1999014,https://www.cvedetails.com/cve/CVE-2018-1999014/,4.3,None,None,Partial,Not required,None,
CVE-2018-1999013,https://www.cvedetails.com/cve/CVE-2018-1999013/,4.3,Partial,None,None,Not required,None,
CVE-2018-1999012,https://www.cvedetails.com/cve/CVE-2018-1999012/,7.1,None,None,Complete,Not required,None,
CVE-2018-1999011,https://www.cvedetails.com/cve/CVE-2018-1999011/,6.8,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2018-1999011,https://www.cvedetails.com/cve/CVE-2018-1999011/,6.8,Partial,Partial,Partial,Not required,None,Overflow
CVE-2018-1999010,https://www.cvedetails.com/cve/CVE-2018-1999010/,7.5,Partial,Partial,Partial,Not required,None,
CVE-2018-1999009,https://www.cvedetails.com/cve/CVE-2018-1999009/,6.8,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2018-1999009,https://www.cvedetails.com/cve/CVE-2018-1999009/,6.8,Partial,Partial,Partial,Not required,None,Obtain Information
CVE-2018-1999009,https://www.cvedetails.com/cve/CVE-2018-1999009/,6.8,Partial,Partial,Partial,Not required,None,File Inclusion
CVE-2018-1999006,https://www.cvedetails.com/cve/CVE-2018-1999006/,4,Partial,None,None,,None,Obtain Information
CVE-2018-1999004,https://www.cvedetails.com/cve/CVE-2018-1999004/,4,None,None,Partial,,None,
CVE-2018-1999003,https://www.cvedetails.com/cve/CVE-2018-1999003/,4,None,Partial,None,,None,
CVE-2018-1999002,https://www.cvedetails.com/cve/CVE-2018-1999002/,5,Partial,None,None,Not required,None,
CVE-2018-1999001,https://www.cvedetails.com/cve/CVE-2018-1999001/,4.3,Partial,None,None,Not required,None,
CVE-2018-1002209,https://www.cvedetails.com/cve/CVE-2018-1002209/,4.3,None,Partial,None,Not required,None,Directory traversal
CVE-2018-1002208,https://www.cvedetails.com/cve/CVE-2018-1002208/,4.3,None,Partial,None,Not required,None,Directory traversal
CVE-2018-1002207,https://www.cvedetails.com/cve/CVE-2018-1002207/,4.3,None,Partial,None,Not required,None,Directory traversal
CVE-2018-1002206,https://www.cvedetails.com/cve/CVE-2018-1002206/,4.3,None,Partial,None,Not required,None,Directory traversal
CVE-2018-1002205,https://www.cvedetails.com/cve/CVE-2018-1002205/,4.3,None,Partial,None,Not required,None,Directory traversal
CVE-2018-1002204,https://www.cvedetails.com/cve/CVE-2018-1002204/,4.3,None,Partial,None,Not required,None,Directory traversal
CVE-2018-1002203,https://www.cvedetails.com/cve/CVE-2018-1002203/,4.3,None,Partial,None,Not required,None,Directory traversal
CVE-2018-1002202,https://www.cvedetails.com/cve/CVE-2018-1002202/,5.8,None,Partial,Partial,Not required,None,Directory traversal
CVE-2018-1002201,https://www.cvedetails.com/cve/CVE-2018-1002201/,5.8,None,Partial,Partial,Not required,None,Directory traversal
CVE-2018-1002200,https://www.cvedetails.com/cve/CVE-2018-1002200/,4.3,None,Partial,None,Not required,None,Directory traversal
CVE-2018-1002150,https://www.cvedetails.com/cve/CVE-2018-1002150/,7.5,Partial,Partial,Partial,Not required,None,
CVE-2018-1002105,https://www.cvedetails.com/cve/CVE-2018-1002105/,7.5,Partial,Partial,Partial,Not required,None,
CVE-2018-1002103,https://www.cvedetails.com/cve/CVE-2018-1002103/,6.8,Partial,Partial,Partial,Not required,None,
CVE-2018-1002101,https://www.cvedetails.com/cve/CVE-2018-1002101/,7.5,Partial,Partial,Partial,Not required,None,
CVE-2018-1002000,https://www.cvedetails.com/cve/CVE-2018-1002000/,6.5,Partial,Partial,Partial,,None,Sql Injection
CVE-2018-1000890,https://www.cvedetails.com/cve/CVE-2018-1000890/,5,Partial,None,None,Not required,None,Sql Injection
CVE-2018-1000889,https://www.cvedetails.com/cve/CVE-2018-1000889/,6.8,Partial,Partial,Partial,Not required,None,Obtain Information
CVE-2018-1000888,https://www.cvedetails.com/cve/CVE-2018-1000888/,6.8,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2018-1000886,https://www.cvedetails.com/cve/CVE-2018-1000886/,4.3,None,None,Partial,Not required,None,Overflow
CVE-2018-1000885,https://www.cvedetails.com/cve/CVE-2018-1000885/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2018-1000884,https://www.cvedetails.com/cve/CVE-2018-1000884/,5,None,Partial,None,Not required,None,
CVE-2018-1000883,https://www.cvedetails.com/cve/CVE-2018-1000883/,4.3,None,Partial,None,Not required,None,
CVE-2018-1000882,https://www.cvedetails.com/cve/CVE-2018-1000882/,5,Partial,None,None,Not required,None,Directory traversal
CVE-2018-1000881,https://www.cvedetails.com/cve/CVE-2018-1000881/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2018-1000880,https://www.cvedetails.com/cve/CVE-2018-1000880/,4.3,None,None,Partial,Not required,None,Overflow
CVE-2018-1000879,https://www.cvedetails.com/cve/CVE-2018-1000879/,4.3,None,None,Partial,Not required,None,
CVE-2018-1000878,https://www.cvedetails.com/cve/CVE-2018-1000878/,6.8,Partial,Partial,Partial,Not required,None,
CVE-2018-1000877,https://www.cvedetails.com/cve/CVE-2018-1000877/,6.8,Partial,Partial,Partial,Not required,None,
CVE-2018-1000876,https://www.cvedetails.com/cve/CVE-2018-1000876/,4.6,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2018-1000876,https://www.cvedetails.com/cve/CVE-2018-1000876/,4.6,Partial,Partial,Partial,Not required,None,Overflow
CVE-2018-1000875,https://www.cvedetails.com/cve/CVE-2018-1000875/,7.5,Partial,Partial,Partial,Bypass by Assumed-Immutable Data vulnerability in Website Terms of Service Acceptance Page that can result in Access to any user account. This attack appear to be exploitable via Specially crafted URL. This vulnerability appears to have been fixed in 1.0.3.	,None,Bypass a restriction or similar
CVE-2018-1000874,https://www.cvedetails.com/cve/CVE-2018-1000874/,4.3,None,Partial,None,Not required,None,Execute Code
