CVE ID,#,Product Type,Vendor,Product,Version
CVE-2018-1999047,1,Application,Jenkins,Jenkins,*
CVE-2018-1999047,2,Application,Jenkins,Jenkins,*
CVE-2018-1999046,1,Application,Jenkins,Jenkins,*
CVE-2018-1999046,2,Application,Jenkins,Jenkins,*
CVE-2018-1999045,1,Application,Jenkins,Jenkins,*
CVE-2018-1999045,2,Application,Jenkins,Jenkins,*
CVE-2018-1999044,1,Application,Jenkins,Jenkins,*
CVE-2018-1999044,2,Application,Jenkins,Jenkins,*
CVE-2018-1999043,1,Application,Jenkins,Jenkins,*
CVE-2018-1999043,2,Application,Jenkins,Jenkins,*
CVE-2018-1999042,1,Application,Jenkins,Jenkins,*
CVE-2018-1999042,2,Application,Jenkins,Jenkins,*
CVE-2018-1999040,1,Application,Jenkins,Kubernetes,*
CVE-2018-1999039,1,Application,Jenkins,Confluence Publisher,*
CVE-2018-1999038,1,Application,Jenkins,Publish Over Cifs,*
CVE-2018-1999037,1,Application,Jenkins,Resource Disposer,*
CVE-2018-1999036,1,Application,Jenkins,Ssh Agent,*
CVE-2018-1999035,1,Application,Jenkins,Inedo Buildmaster,*
CVE-2018-1999034,1,Application,Jenkins,Inedo Proget,*
CVE-2018-1999033,1,Application,Anchore,Container Image Scanner,*
CVE-2018-1999032,1,Application,Agiletestware,Pangolin Connector For Testrail,*
CVE-2018-1999031,1,Application,Jenkins,Meliora Testlab,*
CVE-2018-1999030,1,Application,Jenkins,Maven Artifact Choicelistprovider \(nexus\),*
CVE-2018-1999028,1,Application,Jenkins,Accurev,*
CVE-2018-1999027,1,Application,Jenkins,Saltstack,*
CVE-2018-1999026,1,Application,Jenkins,Tracetronic Ecu-test,*
CVE-2018-1999025,1,Application,Jenkins,Tracetronic Ecu-test,*
CVE-2018-1999024,1,Application,Mathjax,Mathjax,*
CVE-2018-1999023,1,Application,Wesnoth,The Battle For Wesnoth,*
CVE-2018-1999022,1,Application,Civicrm,Civicrm,*
CVE-2018-1999022,2,Application,Civicrm,Civicrm,5.3.0
CVE-2018-1999022,3,Application,Html Quickform Project,Html Quickform,3.2.14
CVE-2018-1999020,1,Application,Opennetworking,Onos,*
CVE-2018-1999019,1,Application,Chamilo,Chamilo Lms,1.11.0
CVE-2018-1999019,2,Application,Chamilo,Chamilo Lms,1.11.0
CVE-2018-1999019,3,Application,Chamilo,Chamilo Lms,1.11.0
CVE-2018-1999019,4,Application,Chamilo,Chamilo Lms,1.11.0
CVE-2018-1999019,5,Application,Chamilo,Chamilo Lms,1.11.0
CVE-2018-1999019,6,Application,Chamilo,Chamilo Lms,1.11.0
CVE-2018-1999019,7,Application,Chamilo,Chamilo Lms,1.11.0
CVE-2018-1999019,8,Application,Chamilo,Chamilo Lms,1.11.0
CVE-2018-1999019,9,Application,Chamilo,Chamilo Lms,1.11.0
CVE-2018-1999019,10,Application,Chamilo,Chamilo Lms,1.11.0
CVE-2018-1999019,11,Application,Chamilo,Chamilo Lms,1.11.2
CVE-2018-1999019,12,Application,Chamilo,Chamilo Lms,1.11.4
CVE-2018-1999019,13,Application,Chamilo,Chamilo Lms,1.11.4
CVE-2018-1999019,14,Application,Chamilo,Chamilo Lms,1.11.4
CVE-2018-1999019,15,Application,Chamilo,Chamilo Lms,1.11.4
CVE-2018-1999019,16,Application,Chamilo,Chamilo Lms,1.11.4
CVE-2018-1999019,17,Application,Chamilo,Chamilo Lms,1.11.6
CVE-2018-1999019,18,Application,Chamilo,Chamilo Lms,1.11.6
CVE-2018-1999019,19,Application,Chamilo,Chamilo Lms,1.11.8
CVE-2018-1999019,20,Application,Chamilo,Chamilo Lms,1.11.8
CVE-2018-1999018,1,Application,Pydio,Pydio,*
CVE-2018-1999017,1,Application,Pydio,Pydio,*
CVE-2018-1999016,1,Application,Pydio,Pydio,*
CVE-2018-1999015,1,Application,Ffmpeg,Ffmpeg,*
CVE-2018-1999014,1,Application,Ffmpeg,Ffmpeg,*
CVE-2018-1999013,1,Application,Ffmpeg,Ffmpeg,*
CVE-2018-1999012,1,Application,Ffmpeg,Ffmpeg,*
CVE-2018-1999011,1,Application,Ffmpeg,Ffmpeg,*
CVE-2018-1999010,1,OS,Debian,Debian Linux,8.0
CVE-2018-1999010,2,Application,Ffmpeg,Ffmpeg,*
CVE-2018-1999009,1,Application,Octobercms,October,-
CVE-2018-1999006,1,Application,Jenkins,Jenkins,*
CVE-2018-1999006,2,Application,Jenkins,Jenkins,*
CVE-2018-1999004,1,Application,Jenkins,Jenkins,*
CVE-2018-1999004,2,Application,Oracle,Communications Cloud Native Core Automated Test Suite,1.9.0
CVE-2018-1999003,1,Application,Jenkins,Jenkins,*
CVE-2018-1999003,2,Application,Oracle,Communications Cloud Native Core Automated Test Suite,1.9.0
CVE-2018-1999002,1,Application,Jenkins,Jenkins,*
CVE-2018-1999002,2,Application,Oracle,Communications Cloud Native Core Automated Test Suite,1.9.0
CVE-2018-1999001,1,Application,Jenkins,Jenkins,*
CVE-2018-1999001,2,Application,Oracle,Communications Cloud Native Core Automated Test Suite,1.9.0
CVE-2018-1002209,1,Application,Quazip Project,Quazip,*
CVE-2018-1002208,1,Application,Sharpziplib Project,Sharpziplib,*
CVE-2018-1002207,1,Application,Archiver Project,Archiver,*
CVE-2018-1002206,1,Application,Sharpcompress Project,Sharpcompress,*
CVE-2018-1002205,1,Application,Dotnetzip.semverd Project,Dotnetzip.semverd,*
