CVE ID,Link to CVE,CVSS Score,Confidentiality Impact,Integrity Impact,Availability Impact,Authentication,Gained Access,Vulnerability Type(s)
CVE-2019-1020019,https://www.cvedetails.com/cve/CVE-2019-1020019/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2019-1020018,https://www.cvedetails.com/cve/CVE-2019-1020018/,7.5,Partial,Partial,Partial,Not required,None,
CVE-2019-1020017,https://www.cvedetails.com/cve/CVE-2019-1020017/,5.0,None,Partial,None,Not required,None,
CVE-2019-1020016,https://www.cvedetails.com/cve/CVE-2019-1020016/,5.8,Partial,Partial,None,Not required,None,
CVE-2019-1020015,https://www.cvedetails.com/cve/CVE-2019-1020015/,5.0,None,Partial,None,Not required,None,
CVE-2019-1020013,https://www.cvedetails.com/cve/CVE-2019-1020013/,5.0,Partial,None,None,Not required,None,
CVE-2019-1020012,https://www.cvedetails.com/cve/CVE-2019-1020012/,5.0,None,None,Partial,Not required,None,
CVE-2019-1020011,https://www.cvedetails.com/cve/CVE-2019-1020011/,6.5,Partial,Partial,Partial,,None,
CVE-2019-1020010,https://www.cvedetails.com/cve/CVE-2019-1020010/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2019-1020009,https://www.cvedetails.com/cve/CVE-2019-1020009/,5.0,Partial,None,None,Not required,None,
CVE-2019-1020008,https://www.cvedetails.com/cve/CVE-2019-1020008/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2019-1020006,https://www.cvedetails.com/cve/CVE-2019-1020006/,5.8,Partial,Partial,None,Not required,None,
CVE-2019-1020004,https://www.cvedetails.com/cve/CVE-2019-1020004/,5.0,None,Partial,None,Not required,None,
CVE-2019-1020002,https://www.cvedetails.com/cve/CVE-2019-1020002/,5.0,Partial,None,None,Not required,None,
CVE-2019-1020001,https://www.cvedetails.com/cve/CVE-2019-1020001/,5.0,Partial,None,None,Not required,None,
CVE-2019-1010319,https://www.cvedetails.com/cve/CVE-2019-1010319/,4.3,None,None,Partial,Not required,None,
CVE-2019-1010317,https://www.cvedetails.com/cve/CVE-2019-1010317/,4.3,None,None,Partial,Not required,None,
CVE-2019-1010316,https://www.cvedetails.com/cve/CVE-2019-1010316/,4.6,Partial,Partial,Partial,Not required,None,
CVE-2019-1010315,https://www.cvedetails.com/cve/CVE-2019-1010315/,4.3,None,None,Partial,Not required,None,
CVE-2019-1010314,https://www.cvedetails.com/cve/CVE-2019-1010314/,4.3,None,Partial,None,Not required,None,Cross Site Scripting
CVE-2019-1010308,https://www.cvedetails.com/cve/CVE-2019-1010308/,5.0,Partial,None,None,Not required,None,
CVE-2019-1010306,https://www.cvedetails.com/cve/CVE-2019-1010306/,7.5,Partial,Partial,Partial,Not required,None,Execute Code
CVE-2019-1010305,https://www.cvedetails.com/cve/CVE-2019-1010305/,4.3,Partial,None,None,Not required,None,Overflow
CVE-2019-1010304,https://www.cvedetails.com/cve/CVE-2019-1010304/,5.0,Partial,None,None,Not required,None,
CVE-2019-1010302,https://www.cvedetails.com/cve/CVE-2019-1010302/,4.3,None,None,Partial,Not required,None,Denial Of Service
CVE-2019-1010302,https://www.cvedetails.com/cve/CVE-2019-1010302/,4.3,None,None,Partial,Not required,None,Overflow
CVE-2019-1010301,https://www.cvedetails.com/cve/CVE-2019-1010301/,4.3,None,None,Partial,Not required,None,Denial Of Service
CVE-2019-1010301,https://www.cvedetails.com/cve/CVE-2019-1010301/,4.3,None,None,Partial,Not required,None,Overflow
CVE-2019-1010300,https://www.cvedetails.com/cve/CVE-2019-1010300/,5.0,None,None,Partial,Not required,None,Overflow
CVE-2019-1010299,https://www.cvedetails.com/cve/CVE-2019-1010299/,5.0,Partial,None,None,Not required,None,
CVE-2019-1010298,https://www.cvedetails.com/cve/CVE-2019-1010298/,10.0,Complete,Complete,Complete,Not required,None,Execute Code
CVE-2019-1010298,https://www.cvedetails.com/cve/CVE-2019-1010298/,10.0,Complete,Complete,Complete,Not required,None,Overflow
CVE-2019-1010297,https://www.cvedetails.com/cve/CVE-2019-1010297/,10.0,Complete,Complete,Complete,Not required,None,Execute Code
CVE-2019-1010297,https://www.cvedetails.com/cve/CVE-2019-1010297/,10.0,Complete,Complete,Complete,Not required,None,Overflow
CVE-2019-1010296,https://www.cvedetails.com/cve/CVE-2019-1010296/,10.0,Complete,Complete,Complete,Not required,None,Execute Code
